,company,job_title,address,employment_type,seniority,category,salary,salary_period,requirements
882,CLOUDGO PTE. LTD.,ServiceNow Solution Architect,"EON SHENTON, 70 SHENTON WAY 079118","Permanent, Full Time",Professional,"Consulting , Information Technology","$6,000to$10,000",Monthly,"RequirementsBasic Required Qualifications:  5+ years ServiceNow development experience and 3+ years Solution Architect Role Configuration experience in following modules on dedicated as well as shared instances (IM, CM, PM, SRM, KM, Release Management, Event Management, Configuration Management and Asset Management) ServiceNow certifications (Administrator is a must-have, Developer or Implementation Specialist are preferred)   Highly Preferred Skills:  Bachelor’s Degree in Computer Science, Information Systems, or other related field or 4-6 years equivalent work experience Development experience in following areas: Business Rules, Access Control Rules, Script Includes, Script Action, UI Actions, UI Scripts, UI Policy, Data Policy, Client Scripts, UI Macros, Jelly, Web Services, Glide Record, Glide AJAX, Workflows, JSON, Encryptions Plugin, Notification, Reporting, Discovery (a plus), Integration, SSO, MID Server, LDAP Extensive knowledge of two or more Front End Technologies: HTML, JSTL, DHTML, JavaScript and CSS, XML, XSL, XSLT Works effectively in a team-oriented, collaborative environment Strong interpersonal and oral communication skills High level of expertise in multiple system environments Proven problem-solving abilities and strong attention to detail and quality work output Domain Separation Experience "
883,EDUCARE HUMAN CAPITAL PRIVATE LIMITED,Temp Senior Officer Admin (Changi),583 SERANGOON ROAD 218197,Temporary,Senior Executive,Admin / Secretarial,"$2,000to$3,200",Monthly,"RequirementsBackground in Social Services or Public Administration or any other relevant discipline Understanding of the social service sector and prior experience in dealing with voluntary welfare or community organization will be advantageous  Good interpersonal and communication skills (both oral & writing skills) Excellent administrative and organizational skills Good initiative and ability to work independently, multi-task and meet tight deadlines Ability to work well under pressure and with minimal supervision   Students awaiting school admission are welcome to apply Pleasant personality and good team player "
884,EXQUISITE CONNECTION PTE. LTD.,HR Coordinator,"INTERNATIONAL PLAZA, 10 ANSON ROAD 079903",Permanent,Executive,Human Resources ,"$2,000to$3,200",Monthly,RequirementsDiploma in any field ·        Preferably with HR certification (including Dip / Deg) ·        Min. 2 years of working experience ·        Excel skills - intermediate (vLookup & Pivot) ·        Warm and welcoming personality ·        Enjoys connecting with partners ·        Eye for detail ·        Interest in improving work processes ·        Believes in HR as a business partner
885,BUSINESS MONITOR INTERNATIONAL (ASIA) PTE. LTD.,Account Manager,"OUE DOWNTOWN, 6 SHENTON WAY 068809",Permanent,Middle Management,Banking and Finance,"$60,000to$120,000",Annually,"Requirements Minimum 5 years of sales/business development experience within the relevant territory and industry, particularly financial services It is essential that you have significant sales/business development experience, within the fixed income and risk management arena.  Ability to develop customer relationship and commercial engagement at all levels – from C-level to end-users A proven track record in developing business and growing revenue streams with major Institutions. You must have an understanding of rating agencies environment and also of risk management requirements in strategic decision making, risk identification, risk quantification / quantitative modelling processes. Ability to understand client strategy to build a business and action plan Given the nature of this position, we are seeking an articulate, personable and energetic self-starter.  "
886,CROWN ASIA BUS BUILDER PTE. LTD.,Accounting Management Executive,44 SUNGEI KADUT AVENUE 729667,Full Time,Manager,Accounting / Auditing / Taxation,"$5,500to$6,500",Monthly,"RequirementsProficiency in both English and Chinese ( read and write )  Proficiency in MS excel,Word and Powerpoint Minimum of 7 year working experience in a similar capacity  Possess at least a degree or equivalent qualification, major in accounting is preferrable  Good interpersonal skills  Able to multi-task, meticulous and responsible   "
887,SYSTECH ANALYTICS PTE. LTD.,Director & Chief Architect,0,Full Time,Senior Executive,"Consulting , Information Technology, Professional Services","$15,000to$25,000",Monthly,"Requirements Bachelor’s Degree in engineering 20+ years of experience in Analytics, Data management, Business intelligence Ability to Deliver and manage all aspects of Implementation and Delivery Visioning and architecting analytic solutions Solution engineering for prospective customers Technical and Commercial Selling Managing cross functional teams and large multimillion dollar projects "
888,ACETECH MANPOWER CONSULTANCY PTE LTD,Asset Management Analyst,135 JURONG GATEWAY ROAD 600135,"Contract, Full Time",Junior Executive,Information Technology,"$2,800to$3,800",Monthly,"Requirements Tertiary qualifications in Engineering, Computer Science and/or IT At least 3 years experiences in IT environment / Asset Management Strong MS Excel Skill is required Strong interpersonal organizational skills and customer service focus Excellent communication skills (verbal and written)  Interested candidates, please send us your detailed resume in MS word format, attached with your recent photograph, stating your current/last drawn & expected salary to munye@ acetech.net (EA Lic. 02C2819 / Reg No. R1878827) We would like to thank all candidates in advance on their interest for this position and regret that only short-listed candidates will be notified."
889,NATIONAL UNIVERSITY HOSPITAL (SINGAPORE) PTE LTD,Clinical Research Coordinator (Contract)_O&G Department,"NATIONAL UNIVERSITY HOSPITAL, 5 LOWER KENT RIDGE ROAD 119074",Contract,Executive,Healthcare / Pharmaceutical,"$3,000to$5,000",Monthly,"RequirementsQualification:   Bachelor in science-related field, nursing or equivalent degree  Experience:   Previous experience as a research coordinator/ nurse will be an added advantage.   Skills:   Phlebotomy skills is preferred  Interested applicants are invited to email a detailed resume stating your current and expected salary to alliedhealth@nuhs.edu.sg Please indicate in the subject title as: ""Applying for position of Clinical Research Coordinator (Contract)_O&G Department” We regret that only shortlisted candidates will be notified."
890,IMRB MILLWARD BROWN INTERNATIONAL PTE LTD,Consultant  /  Senior Consultant,50 SCOTTS ROAD 228242,Permanent,Manager,Others,"$7,000to$8,000",Monthly,"RequirementsKey Capabilities:  Has 5 years experience in the advertising/ market research field. Has at least 5 years of client management experience with vast understanding of their needs and challenges. Able to develop strong relationships with clients to the extent they actively seek your opinions, information and advice. Able to work well with tight deadlines and quick turn around Meticulous, attention to detail and have good analytical skills A passion for brands and advertising.    At Kantar we have an integrated way of rewarding our people based around a simple, clear and consistent set of principles. Our approach helps to ensure we are market competitive and also to support a pay for performance culture, where your reward and career progression opportunities are linked to what you deliver.   We go beyond the obvious, using intelligence, passion and creativity to inspire new thinking and shape the world we live in. Apply for a career that’s out of the ordinary and join us.     PRIVACY DISCLOSURE Please note that by applying to this opportunity you consent to the personal data you provide to us to be processed and retained by The Kantar Group Limited (“Kantar”). Your details will be kept on our Internal ATS (Applicant Tracking System) for as long as is necessary for the purposes of recruitment, which may include your details being shared with the hiring manager(s) and for consideration for potential future opportunities by Kantar and its affiliate Kantar group companies. For full details of our privacy policy please visit www.kantar.com."
891,NANYANG TECHNOLOGICAL UNIVERSITY,"Senior Executive, Finance & Procurement (180000AR)","NANYANG TECHNOLOGICAL UNIVERSITY, 50 NANYANG AVENUE 639798","Contract, Full Time",Senior Executive,"Accounting / Auditing / Taxation, Admin / Secretarial, Banking and Finance","$3,500to$3,800",Monthly,"RequirementsQualification - Diploma / Degree in Business/Accounting - Equivalent professional finance and procurement experience will be considered - Minimum 2 years’ relevant work experience in an educational (preferred)/research institute (preferred)/MNC environment Other Requirements - Familiarity with financial systems e.g. SAP, ERP, procurement and contract management systems - General knowledge of purchasing in the Public sector, including familiarity with GeBIZ. - Proficient in using Microsoft Office Suite of products to perform analytical tasks and quantitative modeling, to present and support recommendations - Demonstrate time management skills and ability to deliver exceptional customer service - Organised, meticulous with excellent interpersonal and communication skills - Ability to work well with multiple competing priorities. - A good team player and able to work independently with minimum supervision"
892,WARC LIMITED (SINGAPORE BRANCH),Editor,"SHAW TOWERS, 100 BEACH ROAD 189702",Full Time,Middle Management,Advertising / Media ,"$6,000to$8,000",Monthly,"RequirementsKey requirements: Long form writing experience, ideally feature articles. Applicants will be required to submit a portfolio of published work and do a writing test.   Experience managing a team of freelancers across the region and balancing commissioning and editing with your own reporting load or international travel.  A deep understanding of Asia’s cultural, economic, consumer and tech trends and how they affect the marketing industry. An excellent network within the marketing and advertising industry, with Singapore, China, India and Australia as key markets. A growth mindset and lots of engagement ideas to get WARC content in front of many people as possible. A creative, tenacious, and highly organized self-starter."
893,WARC LIMITED (SINGAPORE BRANCH),Business Development Manager,"SHAW TOWERS, 100 BEACH ROAD 189702",Full Time,Middle Management,Advertising / Media ,"$6,000to$8,500",Monthly,"Requirements   Proven track record of exceeding sales targets Experience of demonstrating a product/service online or in person Experience of presenting to groups of individuals face to face Clear, concise communication skills Ability to engage successfully in a consultative sales process Ability to work on own initiative and prioritise strategies to ensure you hit your goals Experience of working with CRM databases (Salesforce) and Microsoft Office (Excel, Powerpoint) Drive and determination to hit targets Preferable sales experience in selling to marketers/agencies and/or an online information subscription service. Understanding of the marketing/advertising industry and/or function Language skills in any of the following languages: Korean, Japanese, Thai and Korean "
894,SOCASH PTE. LTD.,Product leader ( Cash Processing),"GATEWAY EAST, 152 BEACH ROAD 189721",Full Time,Middle Management,"Banking and Finance, Telecommunications","$5,000to$7,500",Monthly,"RequirementsMust have requirements: ~ A full time Engineering (Bachelor of Technology) or MBA from an internationally reputable institution, hands-on expertise in  a consumer brand or a technology startup in Singapore, Indonesia or Malaysia . ~ Atleast 2 years of relevant experience in a growth hacker role with demonstrable results and proven ability to manage a large team.Excellent command over english, creative thinking & network with media & ad agencies in Asia Pacific. ~ Experience in working in atleast 1 market outside of Singapore, preferably Indonesia and/or Malaysia. ~ Experience in startups , shared economy services or  telco industry  in a product management or business developement role Responsibilities ~ Conceptualise & execute  product development in SOCASH’s core markets ~ Conduct situational analysis to assess the organization's internal and external business environment and landscape. ~ Direct the design and development of model used for data-mining. ~ Drive profiling of target customers and market segments for marketing campaigns. ~ Establish scope and goals of marketing campaigns. ~ Formulate budgets, create models  and be responsible for P&L ~ Formulate public relations strategies. ~ Lead the formulation of data-driven insights and drive the practical application to the business. ~ Work closely with the product and technology team to oversee product launches and growth campaigns"
895,Epworth Community Services,HR Executive,BUKIT BATOK CENTRAL 650106,Permanent,Junior Executive,Human Resources ,"$2,100to$3,000",Monthly,"Requirements Degree or diploma, preferably in HRM, with at least 1 year of relevant HR experience Good working knowledge of Singapore Employment Act, work pass regulations and employment standards and requirements Good command of the English language, both verbal and written Interest in serving the community Customer service mindset, with attention to detail Good planning and organisational skills and a sense of urgency in completing tasks and meeting deadlines Resourceful, innovative and able to adapt in a changing environment Ability to work independently and as part of a team "
896,LINKSURE NETWORK HOLDING PTE. LIMITED,Recommender systems Software Engineer,0,Permanent,Senior Executive,"Engineering, Information Technology","$6,000to$10,000",Monthly,Requirements at least 5 years of relavant experiences 
897,MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,Delivery Technical Consultant,"GUOCO TOWER, 1 WALLICH STREET 078881",Permanent,Executive,Information Technology,"$4,000to$6,000",Monthly,"Requirements Bachelor's (graduate) or Master's (post graduate) degree in Computer Science, Computer Engineering, MIS, IT or relevant industry related discipline. 8 or more years of relevant experience in the IT industry, particularly in Delivery Technical Consulting, or Solution Architect or in like roles/businesses. Technical certifications in Microsoft technology (MCP/MCSE), Secure Pull Printing or Workflow technology (SafeCom, HP Access Control , Nuance Equitrac, Jetmobile SecureJet) desired. Managed Print Services experience desired.  Interested candidates may send in their resume and cover letter directly to james.andalan@manpower.com.sg (R1331697)  ** We regret to inform that only shortlisted candidates will be notified. **  We respect your privacy and all communication will be treated with confidentiality.  If you wish to know more about this position or explore other roles, please prepare your updated profile and get in touch with our consultants at james.andalan@manpower.com.sg (R1331697) Please note that your response to this advertisement and communications with us pursuant to this advertisement will constitute informed consent to the collection, use and/or disclosure of personal data by Manpower for the purpose of carrying out its business, in compliance with the relevant provisions of the Personal Data Protection Act 2012.    "
898,LINKSURE NETWORK HOLDING PTE. LIMITED,Senior Developer (IOS),0,Permanent,Senior Executive,"Engineering, Information Technology","$6,000to$9,000",Monthly,Requirements 3+ years building iOS applications with iOS SDK Deep knowledge of iOS SDK Be familiar with Objective-C language and Swift language Strong understanding of design patterns Ability to work with a large codebase and help to keep it clean and maintainable Team-work experience 
899,HKM HR MANAGEMENT PTE. LTD.,Assistant Finance Manager,134 JURONG GATEWAY ROAD 600134,Full Time,Senior Executive,Accounting / Auditing / Taxation,0,,"Requirements         Bachelor in Accounting / Finance / ACCA or equivalent professional qualification         Possess at least 5 years’ relevant working experience in MNC         Possess sound knowledge in Microsoft Office especially Excel is an added advantage         Knowledge of SAP FICO is an advantage but not necessary         Must be able to work as a team with good EQ in managing internal /external customers  Interested applicants, please apply with your CV (in Word format)  highlighting clearly your skills and experience that meets above requirements.   Email to:  Thomas@hkmsvs.com and include: *  Current salary package (please breakdown into basic, allowance, commission and bonuses if applicable) *  Expected Salary *  Notice period required *  Reason/s for leaving current/last position *  Please attach copy of photo All applications will be treated in strictest confidence and only short-listed candidates will be notified.  Thank you for your interest!   Prepared by: Tang Keng Yam Reg No:  R1107487 EA Licence No:  03C5391  "
900,MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,Resourcing Analyst,"GUOCO TOWER, 1 WALLICH STREET 078881","Contract, Full Time","Executive, Junior Executive",Human Resources ,"$3,500to$4,000",Monthly,"RequirementsContract Duration: 6 months with an option to extend/renew/convert, subject to the individual performance Required Skills:  Minimum of 3 years of experience in a fast-paced, dynamic recruiting environment 3+ years of recruitment experience is highly desirable; Possess an adaptable, proactive and eager to learn mindset to attain service excellence and continuous improvement  Ability to handle high volume work load Develop and execute against sourcing strategies that are designed to identify qualified candidates through various sourcing tools Strong networking and referral building skills Ability to collaborate and work in a team-oriented environment and collaborate with different recruitment functions  Excellent oral, written and phone communication skills  Ability to prioritize and multi-task autonomously  ** We regret to inform that only shortlisted candidates will be notified. We respect your privacy and all communication will be treated with confidentiality.  If you wish to know more about this position or explore other roles, please prepare your updated profile and get in touch with our consultants at 6232 8811 (EA License: 02C3423) Please note that your response to this advertisement and communications with us pursuant to this advertisement will constitute informed consent to the collection, use and/or disclosure of personal data by Manpower for the purpose of carrying out its business, in compliance with the relevant provisions of the Personal Data Protection Act 2012."
901,JOBFITTER LLP,Account Assistant,"NORTHSTAR @ AMK, 7030 ANG MO KIO AVENUE 5 569880",Permanent,Fresh/entry level,Accounting / Auditing / Taxation,"$1,800to$2,000",Monthly,"Requirements Experience in account G.C.E ""O"" level Able to start work immediately. "
902,Company Undisclosed,INTELLECTUAL PROPERTY ENGINEER,0,Contract,Executive,"Engineering, Information Technology",0,,Requirements Minimum 1 year experience in any IP-related administrative work Good communication skill 
903,MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,Principal DBA - DB2 & Oracle,"GUOCO TOWER, 1 WALLICH STREET 078881",Contract,Non-executive,Information Technology,"$7,500to$9,200",Monthly,"Requirements Minimally 12 years’ experience in database administration and data management technologies in DB2 z/OS and Oracle DB Expert knowledge in Database design, Data Maintenance and Database Security Good experience in troubleshooting and resolving database problems with sound knowledge in software development, system technology, middleware and backup & disaster recovery solutions preferred. Ability to facilitate issues with Development and Support A self-starter with drive to initiate change and raise the technical bar for continuous improvement 2 years direct contract Location: Tampines  Security clearance is needed "
904,ALPHATECH BUSINESS SOLUTIONS PTE. LTD.,Sr. SAP MM Consultant,0,Contract,Manager,Information Technology,0,,"RequirementsSr. SAP MM Consultant with 10+ years experience with:  Expert functional business process and SAP MM configuration/technical knowledge in the areas of Master Data, Production and Non-Production  In-depth knowledge of System design/development (technical specification for forms, reports, interfaces, data conversions, extensions/modifications and workflows) Strong exposure to system integration via EDI/ALE/IDOC (eg. with supplier Portal) "
905,Company Undisclosed,Investment Banking Analyst,0,Full Time,"Professional, Executive",Banking and Finance,"$7,000to$10,000",Monthly,"RequirementsThe Successful Applicant A successful candidate is one with:  Two years and above investment banking experience Master degree in relevant majors, preferably an MBA from renowned universities. Thorough understanding of Investment Banking business. Extensive knowledge of the domestic and international capital markets and the firm's products and services.  What's on Offer Competitive pay and a steep learning curve Contact:  Shruti Sukhani Quote job ref: 4048866 +65 6541 9946"
906,Company Undisclosed,Real Estate Investment Analyst,0,Full Time,"Professional, Executive",Banking and Finance,"$7,000to$10,000",Monthly,"RequirementsThe Successful Applicant A strong candidate will be one with:  2-3 years of work experience in the real estate and/or investment industries to help current operations to grow Strong financial modelling, research, quantitative, and analytical skills Strong interpersonal and communication skills (written as well as verbal) Demonstrate adaptability, flexibility and initiative Strong academic background in business, finance or math  What's on Offer A competitive pay and a chance to grow within an organisation. Contact:  Shruti Sukhani Quote job ref: 4044179 +65 6541 9946"
907,ALPHATECH BUSINESS SOLUTIONS PTE. LTD.,Support Engineer,0,Contract,Professional,Telecommunications,"$8,000to$9,000",Monthly,"Requirements Actively engage internally and externally in planning, validating design and integration, incl. private/public Cloud Strong experience in Java, Python, Go (golang), Javascript, XML, JSON, REST APIs, Web Services, SOAP, Tomcat. Familiar with network and automation technologies, NETCONF/YANG, YAML, Ansible, Puppet, Chef. Experience with Cloud native, Docker, Kubernetes, Micro services architecture Experience with the use of APIs, SDKs, IDEs / Eclipse, Frameworks / Spring Experience with DevOps, CI/CD tools (Jira, Git / Jenkins, Cucumber, Ansbile/Chef , Cloud/Orchestration/Scheduling) Ensure successful prototypes and documentation, designing system specifications, standards, schema, flowcharts, diagram, etc. Experience with Linux OS Environment and related tools space, incl. scripting. Knowledge of network  concepts, network architectures  and management. Understand large enterprise solution development, SDLC, Agile practice and tools Identifying the test scenarios, test case preparation Quality mindset, “do it right the first time” as guiding principle in your work. Troubleshooting in case of issues in internal testing or customer testing, fixing of findings. 6-8 years work experience in Telecom or IT "
908,Public Service Division,"Manager (Service Delivery, Public Sector Transformation Cluster)","THE TREASURY, 100 HIGH STREET 179434",Permanent,Manager,Public / Civil Service,0,,0
909,DALE BEAUTY CONSULTANCY PTE. LTD.,Marketing Manager,0,Full Time,Manager,Marketing / Public Relations ,"$4,000to$6,000",Monthly,"Requirements ~ Analyse new market trends, business opportunities and market segments in global and local landscape. ~ Analyse past performance of collections, categories and campaigns to improve marketing effectiveness and ROI. ~ Assess effectiveness of public relations communication programmes. ~ Define marketing performance measurements in alignment to marketing objectives and strategies. ~ Develop content for online platforms. ~ Develop crisis management action and communication plan. ~ Develop expense forecast and budget allocations. ~ Develop marketing campaigns across offline, digital and social media platforms. ~ Develop website traffic and/or inbound marketing plan. ~ Evaluate end-to-end customer experience across offline and digital platforms and customer touch points. ~ Generate ideas and strategies based upon data-driven insights and recommendations. ~ Manage creative concept of marketing campaigns and communications materials. ~ Manage crisis management communication plans. ~ Manage internal and external communication platforms and channels. ~ Manage offline (traditional) media channels. ~ Manage organization and/or brand reputation. ~ Manage public relations activities. ~ Manage social media platforms. ~ Monitor implementation of marketing campaign. ~ Plan and manage roadshows, promotions and events."
910,S C MOHAN PAC,ADMIN ASSITANTS,"TRIVEX, 8 BURN ROAD 369977","Permanent, Full Time","Fresh/entry level, Non-executive",Admin / Secretarial,"$1,500to$2,500",Monthly,"RequirementsRequirements  Possesses at least a GCE O Level and above Good Proficiency in English, both written and spoken Preferably 1-2 years of office management or administrative experience Competent in MS Office (Word, Excel) and MS Outlook Highly organised, meticulous, trustworthy and possesses positive working attitude A good team player and able to multi task Pro-active, independent, self-motivated and resourceful individual who is able to cope in a fast-paced work environment with minimum supervision   Candidate seeking long term employment   Fresh applicants may be considered   "
911,AVEPOINT SINGAPORE PTE. LTD.,Commercial Sales,"OCEAN FINANCIAL CENTRE, 10 COLLYER QUAY 049315","Permanent, Full Time",Manager,Information Technology,"$6,000to$8,000",Monthly,"RequirementsThe qualities you’ll need to be a fit for this role include:  Bachelor’s degree Years of previous sales experience for Singapore Commercial Market is preferred, especially the Microsoft Market Past experience in the software/technology industry Excellent communication and listening skills Determination to surpass performance goals Willingness to learn and teach Ability to work individually and within a highly collaborative team environment Plenty of initiative A persuasive manner Ability to think on your feet Ability to identify, coach, and measure critical core competencies and essential performance metrics Balance of emotional intelligence and a competitive spirit Determination to help others succeed Courage to do the right thing and hold others accountable to our shared values Ability to execute in an environment where priorities change quickly, demonstrating agility, resilience and adaptability Strong communication skills to articulate company vision, product changes and adapting to new strategies Ability to develop team members in to high-performing individuals that truly understand and embrace the difference they make "
912,SIA PARTNERS SINGAPORE PTE. LTD.,Management Consultant,"GRACE GLOBAL RAFFLES, 137 MARKET STREET 048943",Full Time,Junior Executive,Banking and Finance,"$4,500to$6,500",Monthly,"RequirementsRequired skills:  1 - 3 years of experience and capabilities in business analysis within Financial Services sectors, ideally with a management consulting firm.  At least a Bachelor or equivalent in Economics, Business, Engineering or Science. Excellent communication skills (verbal and written) and client face-off. Ability to work independently and take full ownership and responsibility. Project Management skills advantageous. Strong documentation skills using Microsoft Office applications (Excel, PowerPoint, Word). Experience in the management consulting industry is preferred. "
913,CIMB BANK BERHAD,"Assistant Vice President, Solution Architect and Technical Delivery Lead","SINGAPORE LAND TOWER, 50 RAFFLES PLACE 048623",Permanent,Manager,Information Technology,"$7,800to$8,700",Monthly,"Requirements Minimum Degree with 8 years of full software lifecycle development experience in large and complex systems within the financial sectors and 5 years as a senior or lead architect in architecting and implementing enterprise business applications and technology architecture Desired skills in TOGAF, Zachman architectural modeling techniques and/or Architect Certification would be an added advantage Proactive, ability to work under pressure and a problem solver with a positive attitude Experience in Service Oriented Architecture, Application Messaging, Integration Technology, Enterprise Service Bus technology, Web Services, and Database design Possess extensive experience in J2EE based software development and delivery (Spring, Websphere, Weblogic) Possess knowledge and experience in relational databases, SQL and data modeling, entire software development life cycle including deployment, go-live and warranty, financial models and budgeting Possess knowledge and experience in working with Operations and Wholesale Banking divisions "
914,NIKE TRADING COMPANY B.V. SINGAPORE BRANCH,"Sourcing Snr Analyst, Manufacturing",0,Full Time,Professional,"Logistics / Supply Chain, Manufacturing","$6,900to$11,000",Monthly,RequirementsRequirements:  Bachelor’s Degree in related discipline with 5 years of relevant working experience in related industry or work capacity Able to apply external best practices and new technologies to improve ability to deliver innovation to the marketplace through our partners Demonstrate understanding of the supply chain process and ability to generate reports and provide insights Able to work in cross functional teams across different geographies and diverse cultures.  Able to communicate effectively and influence key stakeholders and colleagues. Able to work independently with minimal guidance to solve problems and make decisions with resources on hand   
915,CRITEO SINGAPORE PTE. LTD.,"FP&A Lead, South APAC","CAPITAGREEN, 138 MARKET STREET 048946","Permanent, Full Time",Senior Executive,Banking and Finance,"$109,360to$164,040",Annually,"Requirements Bachelor’s Degree, or equivalent degree in Business, Finance or Accounting or equivalent practical experience. Minimum 6- 8 years of relevant experience. Business minded, comfortable driving for consistent growth and margin, ideally in regional roles and in sales environment. Proven track record in collaborating with regional leaders to deliver results Positive hands-on attitude and pro-active in identifying and overcoming challenges Experience in a listed multinational organization with matrix reporting line highly preferred. International experience with proven ability to work with people from different cultures A pragmatic approach and the ability to thrive under the pressure of constant change. Ability to operate in a hard driving but respectful and open environment. Collaborative, high EQ and ability to influence decisions Strong presentation and excel skills (financial modelling skills highly preferred) "
916,NCS PTE. LTD.,Senior  /  Mobility Engineer (UX UI),0,Full Time,Professional,Information Technology,"$4,500to$9,000",Monthly,"Requirements 5 years + experience in UX / UI design (Mobile; Websites; Social media; Chat Interfaces etc). Strong experience with Responsive Design and Wireframing Highly Skilled in Visual Communication with strong UI Design Skills.  Deep understanding around the following areas: 	 Design Thinking User Centric Design Prototyping Wireframing    Must have experience with Photoshop / Sketch / Illustrator, and Adobe XD design products Experience on conducting User Research and Website Information Architecture Design. Proven background developing Customer user stories, Wireframes and Prototypes Strong communicator who can help towards strategic design business decisions as well as ensuring UX is continuously innovative and improving "
917,PAN ASIA LOGISTICS SINGAPORE PTE. LTD.,Warehouse Admin Assistant (Tuas - Contract 3-6 months),"PAN ASIA LOGISTICS CENTRE, 21 CHANGI NORTH WAY 498774",Contract,Junior Executive,Logistics / Supply Chain,"$1,600to$1,800",Monthly,"Requirements  GCE 'O' level/NITEC/Diploma or equivalent in Logistics or Warehouse Management   Preferably someone with 2 – 3 years of relevant experience in warehouse / 3PL administration.  Entry level candidates are welcome.     Possess good organizational, interpersonal & communication skills   Proficient in computer skills   Knowledge of Warehouse Administration   SAP experience will be an added advantage   Must be able to start immediately   Working Location: Tuas Bay Drive  "
918,ROBERT WALTERS (SINGAPORE) PTE LTD,Investment Operations Analyst,6 BATTERY ROAD 049909,"Temporary, Contract",Manager,Banking and Finance,"$4,000to$5,000",Monthly,"RequirementsTo succeed in this Investment Operations Manager role, you should be organised and work well with minimal supervision. You will also require strong analytical skills. Relevant experience in a middle and back office environment will be desirable.  Key Requirements:  Minimum three years' experience within the middle or back office operations environment Bachelor's/Honours degree or equivalent required Proficiency in Microsoft Office Excel, Word and Outlook would be advantageous Ability to be a team player and possess strong organisational skills   This is a global leading financial institution. This organisation has diversified financial services and multiple business segments, and offers diversity and growth for innovation for all employees, which makes it a great place to work and be a part of.  If you are driven, determined and want to take the next step in your career, this is the role for you. Great career progression opportunities await the right person in this exciting Investment Operations Analyst job. Apply today to discuss further.   Robert Walters (Singapore) Pte Ltd ROC No.: 199706961E | EA Licence No.: 03C5451 EA Registration No.: R1435983 Glen Chua"
919,A-VINZ PTE. LTD.,Admin Clerk,"NORTHSTAR @ AMK, 7030 ANG MO KIO AVENUE 5 569880","Permanent, Full Time","Fresh/entry level, Junior Executive","Accounting / Auditing / Taxation, Admin / Secretarial, Banking and Finance","$1,500to$2,500",Monthly,"Requirements ‘O’ level / ‘N’ Level / NITEC or higher At least 1 Year of working experience in the related field is preferred. Fresh graduates may apply Knowledge in using MS Word/Excel and accounting systems (experience with UBS Systems is a bonus, training will be provided) Bilingual in English & Chinese Good communication skills with positive attitude Good team player and able to work with minimal supervision Able to work at Ang Mo Kio  5 days work week Please email to accounts@avinz.com.sg or contact Ms Peggy at 6570 1622 "
920,ROBERT WALTERS (SINGAPORE) PTE LTD,AVP KYC / FCC Consultant,6 BATTERY ROAD 049909,"Temporary, Contract",Manager,Information Technology,"$9,000to$11,000",Monthly,"RequirementsTo succeed in the AVP KYC/FCC Consultant role, you must have a track record in successful delivery / support of projects, with demonstrated ability to work under pressure. Key Requirements:   Background in consulting or strategy Flexible, with a can do will do attitude Can swap topics from doing PowerPoint to running meetings Being able to think of solutions and come up with a process of how to get there Two to four years in a compliance, , consulting, strategy, or project management function or chief-of-staff function Bachelor or equivalent degree in engineering preferable Strong analytical and conceptual skills as well as attention to detail Good organisational skills with ability to operate in a dynamic, often-changing environment with a solutions-oriented attitude Excellent and highly pragmatic business analysis, problem solving and analytical capabilities allow you to challenge the status quo and to be creative Ability to write clear, concise business communications for senior management audiences Proven stakeholder management skills with client-oriented approach and the proven ability to operate at senior levels  This leading global bank needs no introduction and is widely regarded as the leader in its field of expertise. Great value is placed on training and development and this is a great time to join the firm. If you are driven and determined to take you career to the next level, this is the role for you. Apply today!   Robert Walters (Singapore) Pte Ltd ROC No.: 199706961E | EA Licence No.: 03C5451 EA Registration No.: R1879144 Aaron Wong"
921,WLI PTE. LTD.,Ecommerce sales,0,Full Time,Junior Executive,Sales / Retail ,"$1,500to$1,800",Monthly,"Requirements Diploma in Digital Marketing/ Higher education or the equivalent with at least one (1) years of relevant experience. Understand of SEO,  online marketing, social media marketing. Able to use Microsoft Office Suite 5 days work week with No OT "
922,EDEN DESIGN ENGINEERING PTE. LTD.,SENIOR  INSTRUMENTATION DESIGNER,"THE SPIRE, 10 BUKIT BATOK CRESCENT 658079",Full Time,Senior Executive,Design,"$6,500to$8,500",Monthly,Requirements15 years’ experience with onshore/offshore oil & gas structures with a Bachelor Degree in Civil/Structural Engineering. Familiar with international/American codes and standards.
923,ONECONNECT FINANCIAL TECHNOLOGY (SINGAPORE) CO. PTE. LTD.,"Manager / Senior Manager, Supply Chain & Trade","ONE RAFFLES PLACE, 1 RAFFLES PLACE 048616","Permanent, Full Time","Middle Management, Manager","Logistics / Supply Chain, Others","$60,000to$110,000",Annually,"RequirementsYou should possess the following:  At least 4-6 years' relevant experience in transaction banking, supply chain management/supply chain finance/trade finance. Ideally candidates with both product and sales experience Relevant experience and understanding of emerging technology, such as blockchain or other Fintech products will be a plus Strong relationship builder with excellent interpersonal skills. Ability to manage internal and external stakeholders well Ability to converse in Mandarin and/or Bahasa will be an added advantage as you will be dealing with Mandarin and/or Bahasa-speaking counterparts in the APAC region "
